Date,代碼,商品,開盤價,最高價,最低價,收盤價,漲跌幅,淨成交量,52H價,均價,平均價3[0],平均價5[1]
2025/10/20,1101,台泥,23.5,23.8,23.15,23.25,-0.43,17003,35.45,23.35,23.29,23.18
2025/10/20,1102,亞泥,36.9,37.15,36.55,36.9,0.27,1353,48.4,36.79,36.7,36.72
2025/10/20,1103,嘉泥,13.3,13.3,13.2,13.25,0,157,19,13.24,13.22,13.17
2025/10/20,1104,環泥,31.2,31.55,31.05,31.5,1.29,1340,37.15,31.41,31.18,30.91
2025/10/20,1108,幸福,15.05,15.05,14.95,15,0,92,17.55,15.01,15,14.99
2025/10/20,1109,信大,15.65,15.65,15.5,15.6,0.32,32,21.05,15.58,15.59,15.56
2025/10/20,1110,東泥,16.6,16.7,16.3,16.6,0.3,112,25.1,16.49,16.64,16.75
2025/10/20,1201,味全,15.15,15.2,15.1,15.2,0.33,85,19.6,15.17,15.08,15.08
2025/10/20,1203,味王,39.6,39.8,39.6,39.7,0.51,5,59.5,39.7,39.84,39.72
2025/10/20,1210,大成,51.9,52.2,51.3,51.6,0.19,1076,66.9,51.58,51.69,51.83
2025/10/20,1213,大飲,11.65,11.7,11.6,11.7,-1.27,6,17.45,11.65,11.71,11.81
2025/10/20,1215,卜蜂,146,146,135,136.5,-6.51,2035,146,137.84,140.18,140.79
2025/10/20,1216,統一,78.6,79.1,78.2,78.7,0.64,2981,92.8,78.59,78.22,77.96
2025/10/20,1217,愛之味,10.4,10.4,10.3,10.35,-0.48,269,13.4,10.35,10.36,10.34
2025/10/20,1218,泰山,19,19.1,18.7,18.8,-1.05,1200,23.7,18.82,19.04,19.37
2025/10/20,1219,福壽,13.6,13.6,13.55,13.6,0,228,19.45,13.56,13.56,13.56
2025/10/20,1220,台榮,13.1,13.1,12.9,12.9,-1.15,72,19.85,12.98,13,13.02
2025/10/20,1225,福懋油,30.5,30.65,30.15,30.65,0.82,96,183.5,30.36,30.63,31
2025/10/20,1227,佳格,33.05,33.15,32.1,32.35,-2.27,645,43.85,32.46,33.41,33.43
2025/10/20,1229,聯華,49.35,49.65,48.55,48.65,-1.42,1186,72.1,48.82,49.19,49.48
2025/10/20,1231,聯華食,115.5,116,112,113,-2.59,493,181,112.94,113.45,113.82
2025/10/20,1232,大統益,144.5,145.5,144,145.5,0.69,100,169,144.6,144.62,145.42
2025/10/20,1233,天仁,30.8,30.8,30.75,30.75,-0.49,11,37.1,30.78,30.83,30.91
2025/10/20,1234,黑松,37.75,37.75,37.4,37.5,-0.4,245,45.4,37.52,37.58,37.68
2025/10/20,1235,興泰,48.55,48.55,48.1,48.1,-1.43,8,169,48.24,50.03,50.46
2025/10/20,1236,宏亞,24.85,25,24.75,24.95,0.4,157,27.9,24.88,24.8,24.79
2025/10/20,1240,茂生農經,57.5,57.5,56.6,57.2,-1.21,7,68.5,57.03,57.11,56.98
2025/10/20,1256,鮮活果汁-KY,149.5,149.5,146.5,147.5,-1.99,68,268,147.45,149.19,150.86
2025/10/20,1259,安心,60.5,60.5,60.5,60.5,0,0,77,60.5,60.59,60.87
2025/10/20,1264,德麥,293.5,293.5,292,292,-0.34,18,339,292.54,293.39,294.12
2025/10/20,1268,漢來美食,159.5,159.5,159,159.5,-0.93,10,176,159.45,160.59,159.53
2025/10/20,1294,漢田生技,78,79.7,73.5,76.3,-1.55,84,133,75.2,75.96,78.24
2025/10/20,1301,台塑,39.05,39.7,38.6,38.85,-0.13,8809,79.3,39.02,38.71,38.21
2025/10/20,1303,南亞,42.5,43,41.7,42.05,0.24,19171,66.9,42.27,41.87,41.25
2025/10/20,1304,台聚,10.85,11.05,10.4,10.5,-2.33,2500,19.95,10.6,10.65,10.61
2025/10/20,1305,華夏,11.5,11.65,11.25,11.3,-1.74,404,22.55,11.35,11.36,11.31
2025/10/20,1307,三芳,30.4,30.85,30.4,30.55,0.83,681,56.2,30.64,30.46,30.11
2025/10/20,1308,亞聚,13.25,13.35,12.75,13,-1.14,1388,23.9,12.92,12.96,12.99
2025/10/20,1309,台達化,11.4,11.5,11.15,11.15,-2.19,394,22.9,11.25,11.24,11.16
2025/10/20,1310,台苯,8.95,9.1,8.72,8.75,-2.02,644,15.65,8.81,8.81,8.76
2025/10/20,1312,國喬,10.6,10.7,10.3,10.35,-1.9,2536,15.8,10.43,10.41,10.33
2025/10/20,1313,聯成,10.55,10.8,10.25,10.3,-1.44,1023,15.6,10.44,10.41,10.32
2025/10/20,1314,中石化,7.38,7.5,7.26,7.31,-0.81,6659,11.8,7.36,7.33,7.28
2025/10/20,1315,達新,64.1,64.2,64,64.2,-0.16,8,73.9,64.14,64.28,64.5
2025/10/20,1316,上曜,15.45,15.85,15.4,15.65,0.97,3114,28.8,15.64,15.5,15.63
2025/10/20,1319,東陽,93.3,93.3,92,92.7,1.42,979,141.5,92.72,91.66,91.16
2025/10/20,1321,大洋,35.75,35.9,35.6,35.7,-0.56,93,44.8,35.71,35.76,35.78
2025/10/20,1323,永裕,19.6,19.75,19.3,19.7,-0.51,15,31.65,19.54,19.64,19.71
